v8-version,6,1,534,50,0
code-creation,Stub,3,190800,0x7bdf5ab980,2293,"RecordWriteStub"
code-creation,Handler,4,190803,0x7bdf5ac280,308,"An IC handler from the snapshot"
code-creation,Handler,4,190806,0x7bdf5ac3c0,744,"An IC handler from the snapshot"
code-creation,Stub,3,190809,0x7bdf5ac6c0,2292,"RecordWriteStub"
code-creation,Stub,3,190812,0x7bdf5acfc0,2262,"RecordWriteStub"
code-creation,Stub,3,190815,0x7bdf5ad8a0,1411,"RecordWriteStub"
code-creation,Stub,3,190818,0x7bdf5ade40,2262,"RecordWriteStub"
code-creation,Stub,3,190821,0x7bdf5ae720,2299,"RecordWriteStub"
code-creation,Stub,3,190824,0x7bdf5af020,183,"DoubleToIStub"
code-creation,Stub,3,190827,0x7bdf5af0e0,2274,"RecordWriteStub"
code-creation,Stub,3,190830,0x7bdf5af9e0,2304,"RecordWriteStub"
code-creation,Handler,4,190833,0x7bdf5b02e0,780,"An IC handler from the snapshot"
code-creation,Handler,4,190836,0x7bdf5b0600,256,"An IC handler from the snapshot"
code-creation,Stub,3,190839,0x7bdf5b0700,2258,"RecordWriteStub"
code-creation,Stub,3,190842,0x7bdf5b0fe0,2274,"RecordWriteStub"
code-creation,Stub,3,190845,0x7bdf5b18e0,1408,"RecordWriteStub"
code-creation,Handler,4,190848,0x7bdf5b1e60,296,"An IC handler from the snapshot"
code-creation,Stub,3,190852,0x7bdf5b1fa0,2277,"RecordWriteStub"
code-creation,Stub,3,190854,0x7bdf5b28a0,2258,"RecordWriteStub"
code-creation,Stub,3,190858,0x7bdf5b3180,3405,"SubStringStub"
code-creation,Stub,3,190860,0x7bdf5b3ee0,183,"DoubleToIStub"
code-creation,Stub,3,190864,0x7bdf5b3fa0,387,"CreateWeakCellStub"
code-creation,Handler,4,190867,0x7bdf5b4140,688,"An IC handler from the snapshot"
code-creation,Stub,3,190870,0x7bdf5b4400,1424,"RecordWriteStub"
code-creation,Stub,3,190886,0x7bdf5b49a0,2265,"RecordWriteStub"
code-creation,Stub,3,190890,0x7bdf5b5280,386,"CEntryStub"
code-creation,Stub,3,190893,0x7bdf5b5420,2258,"RecordWriteStub"
code-creation,Stub,3,190896,0x7bdf5b5d00,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,190899,0x7bdf5b5ee0,2292,"RecordWriteStub"
code-creation,Stub,3,190902,0x7bdf5b67e0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,190906,0x7bdf5b6920,359,"MathPowStub"
code-creation,Handler,4,190909,0x7bdf5b6aa0,744,"An IC handler from the snapshot"
code-creation,Stub,3,190912,0x7bdf5b6da0,426,"CallApiGetterStub"
code-creation,Stub,3,190915,0x7bdf5b6f60,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,190918,0x7bdf5b70a0,2296,"RecordWriteStub"
code-creation,Stub,3,190921,0x7bdf5b79a0,2292,"RecordWriteStub"
code-creation,Stub,3,190924,0x7bdf5b82a0,2262,"RecordWriteStub"
code-creation,Stub,3,190927,0x7bdf5b8b80,615,"StringAddStub"
code-creation,Stub,3,190930,0x7bdf5b8e00,375,"NumberToStringStub"
code-creation,Stub,3,190933,0x7bdf5b8f80,978,"RecordWriteStub"
code-creation,Stub,3,190937,0x7bdf5b9360,2283,"RecordWriteStub"
code-creation,Handler,4,190940,0x7bdf5b9c60,296,"An IC handler from the snapshot"
code-creation,Stub,3,190943,0x7bdf5b9da0,2303,"RecordWriteStub"
code-creation,Stub,3,190946,0x7bdf5ba6a0,2250,"RecordWriteStub"
code-creation,Stub,3,190949,0x7bdf5baf80,185,"DoubleToIStub"
code-creation,Stub,3,190952,0x7bdf5bb040,2303,"RecordWriteStub"
code-creation,Stub,3,190955,0x7bdf5bb940,982,"RecordWriteStub"
code-creation,Stub,3,190958,0x7bdf5bbd20,2253,"RecordWriteStub"
code-creation,Stub,3,190962,0x7bdf5bc600,2300,"RecordWriteStub"
code-creation,Stub,3,190964,0x7bdf5bcf00,2261,"RecordWriteStub"
code-creation,Stub,3,190968,0x7bdf5bd7e0,2287,"RecordWriteStub"
code-creation,Stub,3,190971,0x7bdf5be0e0,982,"RecordWriteStub"
code-creation,Stub,3,190974,0x7bdf5be4c0,2262,"RecordWriteStub"
code-creation,Stub,3,190977,0x7bdf5beda0,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,190980,0x7bdf5bef60,688,"An IC handler from the snapshot"
code-creation,Stub,3,190984,0x7bdf5bf220,978,"RecordWriteStub"
code-creation,Stub,3,190987,0x7bdf5bf600,2262,"RecordWriteStub"
code-creation,Stub,3,190990,0x7bdf5bfee0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,190993,0x7bdf5c0020,2262,"RecordWriteStub"
code-creation,Stub,3,190996,0x7bdf5c0900,2261,"RecordWriteStub"
code-creation,Stub,3,190999,0x7bdf5c11e0,984,"RecordWriteStub"
code-creation,Stub,3,191002,0x7bdf5c15c0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,191005,0x7bdf5c16a0,183,"DoubleToIStub"
code-creation,Stub,3,191008,0x7bdf5c1760,2261,"RecordWriteStub"
code-creation,Stub,3,191011,0x7bdf5c2040,984,"RecordWriteStub"
code-creation,Stub,3,191014,0x7bdf5c2420,2262,"RecordWriteStub"
code-creation,Stub,3,191017,0x7bdf5c2d00,2265,"RecordWriteStub"
code-creation,Stub,3,191021,0x7bdf5c35e0,2278,"RecordWriteStub"
code-creation,Stub,3,191023,0x7bdf5c3ee0,2278,"RecordWriteStub"
code-creation,Stub,3,191027,0x7bdf5c47e0,2261,"RecordWriteStub"
code-creation,Stub,3,191030,0x7bdf5c50c0,2319,"RecordWriteStub"
code-creation,Stub,3,191033,0x7bdf5c59e0,2334,"RecordWriteStub"
code-creation,Stub,3,191036,0x7bdf5c6300,371,"CEntryStub"
code-creation,Stub,3,191039,0x7bdf5c6480,2262,"RecordWriteStub"
code-creation,Stub,3,191042,0x7bdf5c6d60,2283,"RecordWriteStub"
code-creation,Stub,3,191045,0x7bdf5c7660,2258,"RecordWriteStub"
code-creation,Stub,3,191048,0x7bdf5c7f40,2304,"RecordWriteStub"
code-creation,Stub,3,191051,0x7bdf5c8840,2292,"RecordWriteStub"
code-creation,Stub,3,191054,0x7bdf5c9140,2296,"RecordWriteStub"
code-creation,Stub,3,191057,0x7bdf5c9a40,567,"CEntryStub"
code-creation,Stub,3,191060,0x7bdf5c9c80,2261,"RecordWriteStub"
code-creation,Stub,3,191063,0x7bdf5ca560,2274,"RecordWriteStub"
code-creation,Builtin,5,191066,0x7bdf5cae60,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,191069,0x7bdf5caf00,124,"ReturnReceiver"
code-creation,Builtin,5,191073,0x7bdf5caf80,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,191078,0x7bdf5cb1a0,338,"ResumeGeneratorTrampoline"
